date,company_id,company_name,channel,impressions,clicks,conversions,cost,revenue_generated,conversion_rate,click_through_rate
2026-01-01,C001,AlphaFlow,SEO,108,17,0,98.06,0.00,0.0000,0.1574
2026-01-01,C001,AlphaFlow,Paid Search,452,24,0,50.68,0.00,0.0000,0.0531
2026-01-01,C001,AlphaFlow,Content,372,23,0,78.45,0.00,0.0000,0.0618
2026-01-01,C001,AlphaFlow,LinkedIn Ads,405,20,0,55.75,0.00,0.0000,0.0494
2026-01-01,C001,AlphaFlow,Partnerships,85,5,0,47.07,0.00,0.0000,0.0588
2026-01-01,C001,AlphaFlow,Outbound Sales,419,25,0,55.75,0.00,0.0000,0.0597
2026-01-01,C001,AlphaFlow,Referral,322,30,1,70.45,386.57,0.0333,0.0932
2026-01-02,C001,AlphaFlow,SEO,521,8,0,118.49,0.00,0.0000,0.0154
2026-01-02,C001,AlphaFlow,Paid Search,421,22,0,61.24,0.00,0.0000,0.0523
2026-01-02,C001,AlphaFlow,Content,217,14,0,94.79,0.00,0.0000,0.0645
2026-01-02,C001,AlphaFlow,LinkedIn Ads,323,18,0,67.36,0.00,0.0000,0.0557
2026-01-02,C001,AlphaFlow,Partnerships,419,1,0,56.88,0.00,0.0000,0.0024
2026-01-02,C001,AlphaFlow,Outbound Sales,568,4,0,67.36,0.00,0.0000,0.0070
2026-01-02,C001,AlphaFlow,Referral,391,30,1,85.13,388.91,0.0333,0.0767
2026-01-03,C001,AlphaFlow,SEO,439,12,0,117.42,0.00,0.0000,0.0273
2026-01-03,C001,AlphaFlow,Paid Search,516,4,0,60.69,0.00,0.0000,0.0078
2026-01-03,C001,AlphaFlow,Content,205,25,0,93.94,0.00,0.0000,0.1220
2026-01-03,C001,AlphaFlow,LinkedIn Ads,346,24,0,66.75,0.00,0.0000,0.0694
2026-01-03,C001,AlphaFlow,Partnerships,249,1,0,56.36,0.00,0.0000,0.0040
2026-01-03,C001,AlphaFlow,Outbound Sales,386,14,0,66.75,0.00,0.0000,0.0363
2026-01-03,C001,AlphaFlow,Referral,537,74,1,84.37,506.11,0.0135,0.1378
2026-01-04,C001,AlphaFlow,SEO,569,1,0,97.92,0.00,0.0000,0.0018
2026-01-04,C001,AlphaFlow,Paid Search,272,2,0,50.60,0.00,0.0000,0.0074
2026-01-04,C001,AlphaFlow,Content,350,18,0,78.33,0.00,0.0000,0.0514
2026-01-04,C001,AlphaFlow,LinkedIn Ads,421,18,0,55.67,0.00,0.0000,0.0428
2026-01-04,C001,AlphaFlow,Partnerships,226,12,0,47.00,0.00,0.0000,0.0531
2026-01-04,C001,AlphaFlow,Outbound Sales,91,2,0,55.67,0.00,0.0000,0.0220
2026-01-04,C001,AlphaFlow,Referral,549,76,1,70.34,480.33,0.0132,0.1384
2026-01-05,C001,AlphaFlow,SEO,406,17,0,98.22,0.00,0.0000,0.0419
2026-01-05,C001,AlphaFlow,Paid Search,403,17,0,50.76,0.00,0.0000,0.0422
2026-01-05,C001,AlphaFlow,Content,242,3,0,78.57,0.00,0.0000,0.0124
2026-01-05,C001,AlphaFlow,LinkedIn Ads,370,20,0,55.84,0.00,0.0000,0.0541
2026-01-05,C001,AlphaFlow,Partnerships,533,20,0,47.14,0.00,0.0000,0.0375
2026-01-05,C001,AlphaFlow,Outbound Sales,253,8,0,55.84,0.00,0.0000,0.0316
2026-01-05,C001,AlphaFlow,Referral,415,33,1,70.55,392.01,0.0303,0.0795
2026-01-06,C001,AlphaFlow,SEO,415,33,1,389.06,432.75,0.0303,0.0795
2026-01-06,C001,AlphaFlow,Paid Search,306,11,0,201.07,0.00,0.0000,0.0359
2026-01-06,C001,AlphaFlow,Content,356,33,1,311.25,570.82,0.0303,0.0927
2026-01-06,C001,AlphaFlow,LinkedIn Ads,266,5,0,221.18,0.00,0.0000,0.0188
2026-01-06,C001,AlphaFlow,Partnerships,347,13,0,186.75,0.00,0.0000,0.0375
2026-01-06,C001,AlphaFlow,Outbound Sales,322,15,0,221.18,0.00,0.0000,0.0466
2026-01-06,C001,AlphaFlow,Referral,1051,75,2,279.47,1099.11,0.0267,0.0714
2026-01-07,C001,AlphaFlow,SEO,505,16,0,208.64,0.00,0.0000,0.0317
2026-01-07,C001,AlphaFlow,Paid Search,270,8,0,107.83,0.00,0.0000,0.0296
2026-01-07,C001,AlphaFlow,Content,412,11,0,166.91,0.00,0.0000,0.0267
2026-01-07,C001,AlphaFlow,LinkedIn Ads,346,6,0,118.61,0.00,0.0000,0.0173
2026-01-07,C001,AlphaFlow,Partnerships,302,21,0,100.15,0.00,0.0000,0.0695
2026-01-07,C001,AlphaFlow,Outbound Sales,217,10,0,118.61,0.00,0.0000,0.0461
2026-01-07,C001,AlphaFlow,Referral,680,45,2,149.88,872.93,0.0444,0.0662
2026-01-08,C001,AlphaFlow,SEO,406,18,0,115.56,0.00,0.0000,0.0443
2026-01-08,C001,AlphaFlow,Paid Search,434,25,0,59.72,0.00,0.0000,0.0576
2026-01-08,C001,AlphaFlow,Content,278,25,0,92.45,0.00,0.0000,0.0899
2026-01-08,C001,AlphaFlow,LinkedIn Ads,322,2,0,65.69,0.00,0.0000,0.0062
2026-01-08,C001,AlphaFlow,Partnerships,573,7,0,55.47,0.00,0.0000,0.0122
2026-01-08,C001,AlphaFlow,Outbound Sales,297,18,0,65.69,0.00,0.0000,0.0606
2026-01-08,C001,AlphaFlow,Referral,365,28,1,83.02,504.90,0.0357,0.0767
2026-01-09,C001,AlphaFlow,SEO,302,40,1,397.27,465.17,0.0250,0.1325
2026-01-09,C001,AlphaFlow,Paid Search,559,4,0,205.31,0.00,0.0000,0.0072
2026-01-09,C001,AlphaFlow,Content,428,57,1,317.81,495.89,0.0175,0.1332
2026-01-09,C001,AlphaFlow,LinkedIn Ads,553,17,0,225.84,0.00,0.0000,0.0307
2026-01-09,C001,AlphaFlow,Partnerships,370,7,0,190.69,0.00,0.0000,0.0189
2026-01-09,C001,AlphaFlow,Outbound Sales,374,2,0,225.84,0.00,0.0000,0.0053
2026-01-09,C001,AlphaFlow,Referral,701,90,2,285.39,795.01,0.0222,0.1284
2026-01-10,C001,AlphaFlow,SEO,516,6,0,196.17,0.00,0.0000,0.0116
2026-01-10,C001,AlphaFlow,Paid Search,493,24,0,101.38,0.00,0.0000,0.0487
2026-01-10,C001,AlphaFlow,Content,318,13,0,156.93,0.00,0.0000,0.0409
2026-01-10,C001,AlphaFlow,LinkedIn Ads,515,21,0,111.52,0.00,0.0000,0.0408
2026-01-10,C001,AlphaFlow,Partnerships,124,17,0,94.16,0.00,0.0000,0.1371
2026-01-10,C001,AlphaFlow,Outbound Sales,231,13,0,111.52,0.00,0.0000,0.0563
