metric,channel_a,channel_b,n_a,n_b,mean_a,mean_b,difference_b_minus_a,percent_difference_vs_a,t_statistic,p_value,cohens_d,effect_size,significant_uncorrected,bonferroni_alpha,p_value_bonferroni,significant_bonferroni,p_value_fdr,significant_fdr
daily_cpa,Content,LinkedIn Ads,70,66,791.9856666666668,1293.2994570707071,501.31379040404033,0.6329834130887557,-9.269554778512227,8.956658662267461e-16,1.5967792873442603,large,True,0.002380952380952381,1.880898319076167e-14,True,2.686997598680238e-15,True
daily_cpa,Content,Outbound Sales,70,72,791.9856666666668,1171.1949537037037,379.2092870370369,0.4788082701459288,-6.794376736561,3.8317627283754817e-10,1.1375993054638827,large,True,0.002380952380952381,8.046701729588512e-09,True,8.046701729588512e-10,True
daily_cpa,Content,Paid Search,70,90,791.9856666666668,1110.1713462962962,318.18567962962936,0.40175686634433533,-5.766861991235679,4.3799999619751056e-08,0.8937056359947744,large,True,0.002380952380952381,9.197999920147722e-07,True,7.664999933456435e-08,True
daily_cpa,Content,Partnerships,70,69,791.9856666666668,876.054384057971,84.06871739130418,0.1061492914955584,-1.775371359158969,0.07807676545097794,0.301264486376094,small,False,0.002380952380952381,1.0,False,0.0910895596928076,False
daily_cpa,Content,Referral,70,90,791.9856666666668,83.92513465608467,-708.0605320105822,-0.8940320031177946,21.884755304233128,1.4032169053456587e-33,-3.6874862702454276,large,True,0.002380952380952381,2.946755501225883e-32,True,4.9112591687098056e-33,True
daily_cpa,Content,SEO,70,83,791.9856666666668,795.8479819277107,3.862315261043932,0.004876748940798085,-0.08301280746750692,0.9339514105697246,0.013391454433088234,negligible,False,0.002380952380952381,1.0,False,0.9339514105697246,False
daily_cpa,LinkedIn Ads,Outbound Sales,66,72,1293.2994570707071,1171.1949537037037,-122.10450336700342,-0.09441317144257312,1.9323589605728226,0.05539413661447768,-0.3286465445660484,small,False,0.002380952380952381,1.0,False,0.06842805111200184,False
daily_cpa,LinkedIn Ads,Paid Search,66,90,1293.2994570707071,1110.1713462962962,-183.12811077441097,-0.14159760894757648,2.9241039220160827,0.003985026654546987,-0.4671384858053265,small,True,0.002380952380952381,0.08368555974548672,False,0.00523034748409292,True
daily_cpa,LinkedIn Ads,Partnerships,66,69,1293.2994570707071,876.054384057971,-417.24507301273616,-0.32262062025278077,7.469678925272399,1.1854864613959526e-11,-1.2889118634281895,large,True,0.002380952380952381,2.4895215689315006e-10,True,2.7661350765905563e-11,True
daily_cpa,LinkedIn Ads,Referral,66,90,1293.2994570707071,83.92513465608467,-1209.3743224146224,-0.9351077322446472,27.566533608287365,3.8443545345954384e-38,-4.7881848710877435,large,True,0.002380952380952381,8.07314452265042e-37,True,4.03657226132521e-37,True
daily_cpa,LinkedIn Ads,SEO,66,83,1293.2994570707071,795.8479819277107,-497.4514751429964,-0.3846375040392519,9.018335492012724,2.198406529952134e-15,-1.4991407884818528,large,True,0.002380952380952381,4.616653712899481e-14,True,5.7708171411243515e-15,True
daily_cpa,Outbound Sales,Paid Search,72,90,1171.1949537037037,1110.1713462962962,-61.02360740740755,-0.05210371442809827,0.9515999467188823,0.34275961863277354,-0.14967261434946863,negligible,False,0.002380952380952381,1.0,False,0.35989759956441225,False
daily_cpa,Outbound Sales,Partnerships,72,69,1171.1949537037037,876.054384057971,-295.14056964573274,-0.25199952297642775,5.129707199807505,1.0178773957205492e-06,-0.861585507408704,large,True,0.002380952380952381,2.1375425310131532e-05,True,1.5268160935808238e-06,True
daily_cpa,Outbound Sales,Referral,72,90,1171.1949537037037,83.92513465608467,-1087.269819047619,-0.9283423016888129,23.642769227056526,7.880915358169478e-36,-3.9350434254190283,large,True,0.002380952380952381,1.6549922252155903e-34,True,5.516640750718634e-35,True
daily_cpa,Outbound Sales,SEO,72,83,1171.1949537037037,795.8479819277107,-375.346971775993,-0.3204820603000571,6.601518336905856,8.568181999836222e-10,-1.0717308576089135,large,True,0.002380952380952381,1.7993182199656068e-08,True,1.6357438363323698e-09,True
daily_cpa,Paid Search,Partnerships,90,69,1110.1713462962962,876.054384057971,-234.1169622383252,-0.2108836289275306,4.113270446985295,6.313445555684027e-05,-0.6419961966984771,medium,True,0.002380952380952381,0.0013258235666936456,True,8.838823777957636e-05,True
daily_cpa,Paid Search,Referral,90,90,1110.1713462962962,83.92513465608467,-1026.2462116402114,-0.9244034401211381,22.698671495067135,2.950847339507568e-39,-3.3837181641271266,large,True,0.002380952380952381,6.196779412965894e-38,True,6.196779412965894e-38,True
daily_cpa,Paid Search,SEO,90,83,1110.1713462962962,795.8479819277107,-314.32336436858543,-0.28313049640239496,5.589745978612578,9.455868489740184e-08,-0.8452180351726608,large,True,0.002380952380952381,1.9857323828454387e-06,True,1.527486448342645e-07,True
daily_cpa,Partnerships,Referral,69,90,876.054384057971,83.92513465608467,-792.1292494018863,-0.9042009991807414,22.47574750228463,6.732649631636015e-34,-3.8156438197043427,large,True,0.002380952380952381,1.4138564226435633e-32,True,2.8277128452871265e-33,True
daily_cpa,Partnerships,SEO,69,83,876.054384057971,795.8479819277107,-80.20640213026024,-0.09155413589592032,1.6509969608411743,0.10086492947105609,-0.2682332613943278,small,False,0.002380952380952381,1.0,False,0.11148229046800938,False
daily_cpa,Referral,SEO,90,83,83.92513465608467,795.8479819277107,711.9228472716261,8.482832350391837,-20.86167423854166,2.8937299931565705e-35,3.235629880706123,large,True,0.002380952380952381,6.076832985628798e-34,True,1.5192082464071995e-34,True
