test_family,channel_a,channel_b,better_channel,absolute_difference,effect_size_or_odds_ratio,adjusted_p_value
CPA Welch t-test,Content,LinkedIn Ads,Content,501.31379040404033,1.5967792873442603,2.6869975986802378e-15
CPA Welch t-test,Content,Outbound Sales,Content,379.2092870370369,1.1375993054638829,8.046701729588511e-10
CPA Welch t-test,Content,Paid Search,Content,318.18567962962936,0.8937056359947744,7.664999933456435e-08
CPA Welch t-test,Content,Referral,Referral,708.0605320105822,-3.687486270245428,4.9112591687098056e-33
CPA Welch t-test,LinkedIn Ads,Paid Search,Paid Search,183.12811077441097,-0.4671384858053265,0.0052303474840929
CPA Welch t-test,LinkedIn Ads,Partnerships,Partnerships,417.24507301273616,-1.2889118634281895,2.7661350765905563e-11
CPA Welch t-test,LinkedIn Ads,Referral,Referral,1209.3743224146224,-4.788184871087744,4.03657226132521e-37
CPA Welch t-test,LinkedIn Ads,SEO,SEO,497.4514751429964,-1.4991407884818528,5.770817141124352e-15
CPA Welch t-test,Outbound Sales,Partnerships,Partnerships,295.14056964573274,-0.861585507408704,1.5268160935808238e-06
CPA Welch t-test,Outbound Sales,Referral,Referral,1087.269819047619,-3.935043425419028,5.516640750718633e-35
CPA Welch t-test,Outbound Sales,SEO,SEO,375.346971775993,-1.0717308576089135,1.6357438363323696e-09
CPA Welch t-test,Paid Search,Partnerships,Partnerships,234.1169622383252,-0.6419961966984771,8.838823777957636e-05
CPA Welch t-test,Paid Search,Referral,Referral,1026.2462116402114,-3.3837181641271266,6.196779412965894e-38
CPA Welch t-test,Paid Search,SEO,SEO,314.32336436858543,-0.8452180351726608,1.527486448342645e-07
CPA Welch t-test,Partnerships,Referral,Referral,792.1292494018863,-3.815643819704343,2.8277128452871265e-33
CPA Welch t-test,Referral,SEO,Referral,711.9228472716261,3.235629880706123,1.5192082464071995e-34
Conversion Fisher exact test,Content,LinkedIn Ads,Content,0.0031209877538722,1.370670549219445,0.0425615264814286
Conversion Fisher exact test,Content,Outbound Sales,Content,0.0042527722924763,1.5824732269557849,0.001627141120818
Conversion Fisher exact test,Content,Referral,Referral,0.0156462123354045,0.4198357907590794,3.4595351324440265e-19
Conversion Fisher exact test,Content,SEO,SEO,0.0035129584042504,0.7654363827549947,0.0453224738273338
Conversion Fisher exact test,LinkedIn Ads,Paid Search,Paid Search,0.0051137145926107,0.6216710081256561,0.0001839158832356
Conversion Fisher exact test,LinkedIn Ads,Referral,Referral,0.0187672000892768,0.3062995633765992,1.13042196901155e-31
Conversion Fisher exact test,LinkedIn Ads,SEO,SEO,0.0066339461581226,0.5584393588896233,1.829609506549828e-05
Conversion Fisher exact test,Outbound Sales,Paid Search,Paid Search,0.0062454991312147,0.5384648078884733,2.299975863781043e-07
Conversion Fisher exact test,Outbound Sales,Referral,Referral,0.0198989846278808,0.2653035663464086,4.3550184459633e-44
Conversion Fisher exact test,Outbound Sales,SEO,SEO,0.0077657306967267,0.4836962608381503,2.592702526342423e-08
Conversion Fisher exact test,Paid Search,Partnerships,Paid Search,0.0047677784931706,1.5452574525745255,0.0003914117863667
Conversion Fisher exact test,Paid Search,Referral,Referral,0.0136534854966661,0.4927036316203569,1.2858736045286935e-20
Conversion Fisher exact test,Partnerships,Referral,Referral,0.0184212639898367,0.3188488952436192,9.966149124685998e-32
Conversion Fisher exact test,Partnerships,SEO,SEO,0.0062880100586826,0.5813190547176429,3.457856768121146e-05
Conversion Fisher exact test,Referral,SEO,Referral,0.0121332539311541,1.8231803948183076,8.778601432185686e-12
